Requirement ID,Requirement Description,Feature,Priority,Covered by Test Case ID(s)
REQ-001,Home page displays a rotating promotional banner,Home Page,Low,
REQ-002,Home page lists product categories and subcategories in a sidebar linking to filtered listings,Home Page,Medium,
REQ-003,Home page lists brands with product counts linking to filtered listings,Home Page,Medium,
REQ-004,Home page displays a featured products grid with Add to Cart and View Product actions,Home Page,High,
REQ-005,Home page displays a recommended items carousel with an Add to Cart action,Home Page,Medium,
REQ-006,Home page footer offers a newsletter subscribe field,Home Page,Low,
REQ-007,Products page displays every product in the catalog with name price and image,Product Listing & Search,High,
REQ-008,Products page allows filtering by category via sidebar,Product Listing & Search,Medium,
REQ-009,Products page allows filtering by brand via sidebar,Product Listing & Search,Medium,
REQ-010,Products page search field accepts a search term and returns matching products under a Searched Products heading,Product Listing & Search,High,
REQ-011,Search results reflect an empty state when no products match the search term,Product Listing & Search,Medium,
REQ-012,Search input rejects or safely handles special characters (SQL metacharacters script tags),Product Listing & Search,High,
REQ-013,Category product view shows only products in the selected category with a heading,Category Products,Medium,
REQ-014,Category product view supports Add to Cart per product,Category Products,Medium,
REQ-015,Category URLs correctly resolve for every listed category and subcategory,Category Products,Low,
REQ-016,Brand product view shows only products from the selected brand,Brand Products,Medium,
REQ-017,Brand product view supports Add to Cart per product,Brand Products,Medium,
REQ-018,Brand URLs correctly resolve including brand names containing spaces or special characters,Brand Products,Low,
REQ-019,Product detail page displays name category price availability condition and brand,Product Detail & Review,High,
REQ-020,Quantity field defaults to 1 and rejects values below 1,Product Detail & Review,High,
REQ-021,Quantity field enforces a reasonable maximum value (no upper bound currently observed in markup),Product Detail & Review,Medium,
REQ-022,Add to Cart adds the selected quantity of the product and confirms with a message and View Cart link,Product Detail & Review,High,
REQ-023,Review form accepts Name Email and Review text and requires all three fields,Product Detail & Review,Medium,
REQ-024,Review submission is possible without an active login session,Product Detail & Review,Low,
REQ-025,Submitted review content is safely rendered (no script execution from review text),Product Detail & Review,High,
REQ-026,Cart page lists each added product with description unit price quantity and line total,Shopping Cart,High,
REQ-027,Empty cart displays a Cart is empty message with a link back to Products,Shopping Cart,Medium,
REQ-028,Cart quantity is editable directly from the cart page,Shopping Cart,High,
REQ-029,Cart contents persist correctly across login (guest cart merges or is preserved after login),Shopping Cart,High,
REQ-030,Cart page offers the newsletter subscribe widget,Shopping Cart,Low,
REQ-031,Users can proceed from Cart to Checkout,Shopping Cart,High,
REQ-032,Signup Step 1 collects Name and Email both required,Signup - Step 1,High,
REQ-033,Signup Step 1 rejects submission when Name or Email is missing,Signup - Step 1,High,
REQ-034,No partial account is persisted if the flow is abandoned after Step 1,Signup - Step 1,Medium,
REQ-035,Signup Step 2 collects title password DOB name company address country state city zipcode and mobile number,Signup - Step 2 (Account Info),High,
REQ-036,Signup Step 2 enforces a defined password policy,Signup - Step 2 (Account Info),Medium,
REQ-037,Signup Step 2 successfully creates an account and redirects to a logged-in state,Signup - Step 2 (Account Info),High,
REQ-038,Registering with an email that already exists returns a defined error message,Signup - Step 2 (Account Info),High,
REQ-039,Required address/account fields are validated server-side not just client-side,Signup - Step 2 (Account Info),Medium,
REQ-040,Malformed or incomplete POST requests to the signup endpoint return a generic error not an internal debug trace,Signup - Step 2 (Account Info),High,
REQ-041,Login accepts Email and Password and authenticates valid credentials,Login,High,
REQ-042,Login rejects invalid credentials with a defined error message,Login,High,
REQ-043,Login form enforces both fields as required before submission,Login,Medium,
REQ-044,Repeated failed login attempts are rate-limited or throttled,Login,Medium,
REQ-045,Successful login persists session state across pages,Login,High,
REQ-046,Logout ends the active session,Logout,High,
REQ-047,Logout returns the user to a logged-out state and redirects appropriately,Logout,Medium,
REQ-048,Checkout displays the logged-in user's delivery and billing addresses,Checkout,High,
REQ-049,Checkout displays an accurate review of cart contents and total,Checkout,High,
REQ-050,Checkout allows an optional order comment before placing the order,Checkout,Low,
REQ-051,Checkout without an active session or with an empty cart redirects instead of rendering a blank page,Checkout,Medium,
REQ-052,Place Order proceeds correctly to the Payment page,Checkout,High,
REQ-053,Checkout total reflects correct sum of cart line items,Checkout,High,
REQ-054,Payment page collects card holder name card number CVC expiry month and expiry year all required,Payment,High,
REQ-055,Payment form validates card field formats (length numeric-only where applicable),Payment,Medium,
REQ-056,Payment simulates order placement without contacting a real payment processor,Payment,High,
REQ-057,Successful payment produces a confirmable order and an available invoice download,Payment,High,
REQ-058,Payment page without an active session or empty cart redirects instead of rendering a blank page,Payment,Medium,
REQ-059,Contact Us form collects Name Email Subject Message and an optional file attachment,Contact Us,Medium,
REQ-060,Contact Us enforces Email as a required field,Contact Us,Medium,
REQ-061,Contact Us form defines whether Name Subject and Message are mandatory and validates accordingly,Contact Us,Medium,
REQ-062,Contact Us file upload enforces an accepted file type allow-list,Contact Us,High,
REQ-063,Contact Us file upload enforces a maximum file size,Contact Us,High,
REQ-064,Contact Us submission shows a defined success confirmation,Contact Us,Medium,
REQ-065,Newsletter subscribe field accepts a valid email and confirms subscription,Newsletter Subscription,Medium,
REQ-066,Newsletter subscribe field validates email format before submission,Newsletter Subscription,Medium,
REQ-067,Newsletter subscribe handles duplicate-email subscription attempts predictably,Newsletter Subscription,Low,
REQ-068,Newsletter subscribe widget is present and functional on every page footer (Home Cart Contact Checkout Payment),Newsletter Subscription,Low,
REQ-069,Test Cases page lists all 26 documented test scenarios accurately,Test Cases Page,Low,
REQ-070,API List page documents all 14 endpoints with correct method path and parameter information,API List Page,Low,
REQ-071,Documented API endpoints return the exact status codes and messages specified on the API List page,API List Page,High,
